date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:22:51	18466/18466	---M-Z	200	added ('OK')	text/html	date:Sun,%2018%20Nov%202018%2016:08:55%20GMT	https://www.konnectplugins.com/proclinic/Vertical/	C:/My%20Web%20Sites/dashBoard%20admin/www.konnectplugins.com/proclinic/Vertical/index.html	(from )
18:22:52	66/66	---M--	200	added ('OK')	text/plain	etag:%2242-53acd5f4ad640%22	https://www.konnectplugins.com/robots.txt		(from )
18:22:52	4753/4753	---M--	200	added ('OK')	image/png	etag:%221291-57af2a146cf80%22	https://www.konnectplugins.com/proclinic/Vertical/images/fav.png	C:/My%20Web%20Sites/dashBoard%20admin/www.konnectplugins.com/proclinic/Vertical/images/fav.png	(from https://www.konnectplugins.com/proclinic/Vertical/)
18:22:55	16450/16450	---M--	200	added ('OK')	text/css	etag:%224042-57af29f4f4540%22	https://www.konnectplugins.com/proclinic/Vertical/css/themify-icons.css	C:/My%20Web%20Sites/dashBoard%20admin/www.konnectplugins.com/proclinic/Vertical/css/themify-icons.css	(from https://www.konnectplugins.com/proclinic/Vertical/)
18:22:56	144901/144901	---M--	200	added ('OK')	text/css	etag:%2223605-57af29f217e80%22	https://www.konnectplugins.com/proclinic/Vertical/css/bootstrap.min.css	C:/My%20Web%20Sites/dashBoard%20admin/www.konnectplugins.com/proclinic/Vertical/css/bootstrap.min.css	(from https://www.konnectplugins.com/proclinic/Vertical/)
18:22:58	23848/23848	---M--	200	added ('OK')	text/css	etag:%225d28-57af29f123c40%22	https://www.konnectplugins.com/proclinic/Vertical/css/animate.css	C:/My%20Web%20Sites/dashBoard%20admin/www.konnectplugins.com/proclinic/Vertical/css/animate.css	(from https://www.konnectplugins.com/proclinic/Vertical/)
18:22:59	23276/23276	---M--	200	added ('OK')	text/css	etag:%225aec-57af29f4f4540%22	https://www.konnectplugins.com/proclinic/Vertical/css/styles.css	C:/My%20Web%20Sites/dashBoard%20admin/www.konnectplugins.com/proclinic/Vertical/css/styles.css	(from https://www.konnectplugins.com/proclinic/Vertical/)
18:22:59	3115/3115	---M--	200	added ('OK')	text/css	etag:%22c2b-57af29f400300%22	https://www.konnectplugins.com/proclinic/Vertical/css/red.css	C:/My%20Web%20Sites/dashBoard%20admin/www.konnectplugins.com/proclinic/Vertical/css/red.css	(from https://www.konnectplugins.com/proclinic/Vertical/)
18:23:00	7739/7739	---M--	200	added ('OK')	text/css	etag:%221e3b-57af29f400300%22	https://www.konnectplugins.com/proclinic/Vertical/css/responsive.css	C:/My%20Web%20Sites/dashBoard%20admin/www.konnectplugins.com/proclinic/Vertical/css/responsive.css	(from https://www.konnectplugins.com/proclinic/Vertical/)
18:23:00	433/433	---M--	200	added ('OK')	text/css	etag:%221b1-57af2a2b50580%22	https://www.konnectplugins.com/proclinic/Vertical/charts/css/morris.css	C:/My%20Web%20Sites/dashBoard%20admin/www.konnectplugins.com/proclinic/Vertical/charts/css/morris.css	(from https://www.konnectplugins.com/proclinic/Vertical/)
18:23:00	6635/6635	---M--	200	added ('OK')	text/css	etag:%2219eb-57af29f30c0c0%22	https://www.konnectplugins.com/proclinic/Vertical/css/jquery-jvectormap.css	C:/My%20Web%20Sites/dashBoard%20admin/www.konnectplugins.com/proclinic/Vertical/css/jquery-jvectormap.css	(from https://www.konnectplugins.com/proclinic/Vertical/)
18:23:01	11084/11084	---M--	200	added ('OK')	application/javascript	etag:%222b4c-57af2a24a35c0%22	https://www.konnectplugins.com/proclinic/Vertical/js/modernizr.min.js	C:/My%20Web%20Sites/dashBoard%20admin/www.konnectplugins.com/proclinic/Vertical/js/modernizr.min.js	(from https://www.konnectplugins.com/proclinic/Vertical/)
18:23:01	18466/18466	---M-Z	200	added ('OK')	text/html	date:Sun,%2018%20Nov%202018%2016:08:55%20GMT	https://www.konnectplugins.com/proclinic/Vertical/index.html	C:/My%20Web%20Sites/dashBoard%20admin/www.konnectplugins.com/proclinic/Vertical/index-2.html	(from https://www.konnectplugins.com/proclinic/Vertical/)
18:23:01	3601/3601	---M--	200	added ('OK')	image/png	etag:%22e11-57af2a15611c0%22	https://www.konnectplugins.com/proclinic/Vertical/images/logo.png	C:/My%20Web%20Sites/dashBoard%20admin/www.konnectplugins.com/proclinic/Vertical/images/logo.png	(from https://www.konnectplugins.com/proclinic/Vertical/)
18:23:02	15913/15913	---M-Z	200	added ('OK')	text/html	etag:%223e28-57af29d4878c0-gzip%22	https://www.konnectplugins.com/proclinic/Vertical/add-patient.html	C:/My%20Web%20Sites/dashBoard%20admin/www.konnectplugins.com/proclinic/Vertical/add-patient.html	(from https://www.konnectplugins.com/proclinic/Vertical/)
18:23:02	20853/20853	---M-Z	200	added ('OK')	text/html	etag:%225174-57af29e5b2140-gzip%22	https://www.konnectplugins.com/proclinic/Vertical/patients.html	C:/My%20Web%20Sites/dashBoard%20admin/www.konnectplugins.com/proclinic/Vertical/patients.html	(from https://www.konnectplugins.com/proclinic/Vertical/)
18:23:02	21540/21540	---M-Z	200	added ('OK')	text/html	etag:%225423-57af29d0b6fc0-gzip%22	https://www.konnectplugins.com/proclinic/Vertical/about-patient.html	C:/My%20Web%20Sites/dashBoard%20admin/www.konnectplugins.com/proclinic/Vertical/about-patient.html	(from https://www.konnectplugins.com/proclinic/Vertical/)
18:23:03	16050/16050	---M-Z	200	added ('OK')	text/html	etag:%223eb1-57af29db34880-gzip%22	https://www.konnectplugins.com/proclinic/Vertical/edit-patient.html	C:/My%20Web%20Sites/dashBoard%20admin/www.konnectplugins.com/proclinic/Vertical/edit-patient.html	(from https://www.konnectplugins.com/proclinic/Vertical/)
18:23:03	16629/16629	---M-Z	200	added ('OK')	text/html	etag:%2240f4-57af29d393680-gzip%22	https://www.konnectplugins.com/proclinic/Vertical/add-doctor.html	C:/My%20Web%20Sites/dashBoard%20admin/www.konnectplugins.com/proclinic/Vertical/add-doctor.html	(from https://www.konnectplugins.com/proclinic/Vertical/)
18:23:03	22031/22031	---M-Z	200	added ('OK')	text/html	etag:%22560e-57af29da40640-gzip%22	https://www.konnectplugins.com/proclinic/Vertical/doctors.html	C:/My%20Web%20Sites/dashBoard%20admin/www.konnectplugins.com/proclinic/Vertical/doctors.html	(from https://www.konnectplugins.com/proclinic/Vertical/)
18:23:04	23439/23439	---M-Z	200	added ('OK')	text/html	etag:%225b8e-57af29d0b6fc0-gzip%22	https://www.konnectplugins.com/proclinic/Vertical/about-doctor.html	C:/My%20Web%20Sites/dashBoard%20admin/www.konnectplugins.com/proclinic/Vertical/about-doctor.html	(from https://www.konnectplugins.com/proclinic/Vertical/)
18:23:04	17072/17072	---M-Z	200	added ('OK')	text/html	etag:%2242af-57af29db34880-gzip%22	https://www.konnectplugins.com/proclinic/Vertical/edit-doctor.html	C:/My%20Web%20Sites/dashBoard%20admin/www.konnectplugins.com/proclinic/Vertical/edit-doctor.html	(from https://www.konnectplugins.com/proclinic/Vertical/)
18:23:04	16194/16194	---M-Z	200	added ('OK')	text/html	etag:%223f41-57af29d393680-gzip%22	https://www.konnectplugins.com/proclinic/Vertical/add-appointment.html	C:/My%20Web%20Sites/dashBoard%20admin/www.konnectplugins.com/proclinic/Vertical/add-appointment.html	(from https://www.konnectplugins.com/proclinic/Vertical/)
18:23:05	21541/21541	---M-Z	200	added ('OK')	text/html	etag:%225424-57af29d57bb00-gzip%22	https://www.konnectplugins.com/proclinic/Vertical/appointments.html	C:/My%20Web%20Sites/dashBoard%20admin/www.konnectplugins.com/proclinic/Vertical/appointments.html	(from https://www.konnectplugins.com/proclinic/Vertical/)
18:23:05	16917/16917	---M-Z	200	added ('OK')	text/html	etag:%224214-57af29cfc2d80-gzip%22	https://www.konnectplugins.com/proclinic/Vertical/about-appointment.html	C:/My%20Web%20Sites/dashBoard%20admin/www.konnectplugins.com/proclinic/Vertical/about-appointment.html	(from https://www.konnectplugins.com/proclinic/Vertical/)
18:23:06	16443/16443	---M-Z	200	added ('OK')	text/html	etag:%22403a-57af29da40640-gzip%22	https://www.konnectplugins.com/proclinic/Vertical/edit-appointment.html	C:/My%20Web%20Sites/dashBoard%20admin/www.konnectplugins.com/proclinic/Vertical/edit-appointment.html	(from https://www.konnectplugins.com/proclinic/Vertical/)
18:23:06	17987/17987	---M-Z	200	added ('OK')	text/html	etag:%224642-57af29d4878c0-gzip%22	https://www.konnectplugins.com/proclinic/Vertical/add-payment.html	C:/My%20Web%20Sites/dashBoard%20admin/www.konnectplugins.com/proclinic/Vertical/add-payment.html	(from https://www.konnectplugins.com/proclinic/Vertical/)
18:23:06	27465/27465	---M-Z	200	added ('OK')	text/html	etag:%226b48-57af29e5b2140-gzip%22	https://www.konnectplugins.com/proclinic/Vertical/payments.html	C:/My%20Web%20Sites/dashBoard%20admin/www.konnectplugins.com/proclinic/Vertical/payments.html	(from https://www.konnectplugins.com/proclinic/Vertical/)
18:23:07	17098/17098	---M-Z	200	added ('OK')	text/html	etag:%2242c9-57af29d1ab200-gzip%22	https://www.konnectplugins.com/proclinic/Vertical/about-payment.html	C:/My%20Web%20Sites/dashBoard%20admin/www.konnectplugins.com/proclinic/Vertical/about-payment.html	(from https://www.konnectplugins.com/proclinic/Vertical/)
18:23:07	15665/15665	---M-Z	200	added ('OK')	text/html	etag:%223d30-57af29d57bb00-gzip%22	https://www.konnectplugins.com/proclinic/Vertical/add-room.html	C:/My%20Web%20Sites/dashBoard%20admin/www.konnectplugins.com/proclinic/Vertical/add-room.html	(from https://www.konnectplugins.com/proclinic/Vertical/)
